Replace Part U7 SN74LS173AN in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS173AN from TI Logic Flip-Flop.IntLib
Replace Part U8 SN74LS173AN in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS173AN from TI Logic Flip-Flop.IntLib
Replace Part U9 SN74LS173AN in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS173AN from TI Logic Flip-Flop.IntLib
Replace Part U10 SN74LS173AN in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS173AN from TI Logic Flip-Flop.IntLib
Replace Part U72 SN74LS04N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS04N from TI Logic Gate 2.IntLib
Replace Part U72 SN74LS04N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS04N from TI Logic Gate 2.IntLib
Replace Part U72 SN74LS04N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS04N from TI Logic Gate 2.IntLib
Replace Part U72 SN74LS04N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS04N from TI Logic Gate 2.IntLib
Replace Part U72 SN74LS04N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS04N from TI Logic Gate 2.IntLib
Replace Part U72 SN74LS04N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS04N from TI Logic Gate 2.IntLib
Replace Part U73 SN74LS08N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS08N from TI Logic Gate 2.IntLib
Replace Part U73 SN74LS08N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS08N from TI Logic Gate 2.IntLib
Replace Part U73 SN74LS08N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS08N from TI Logic Gate 2.IntLib
Replace Part U73 SN74LS08N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS08N from TI Logic Gate 2.IntLib
Replace Part U74 SN74LS138N in D:\Users\erics\Documents\16B\16Bit Computer\Memory_Address_Register.SchDoc with SN74LS138N from TI Logic Decoder Demux.IntLib
